additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
"Doctoral scholarship for a comparative anthropological study of domestic workers in Tanzania and Ethiopia
",0,0,9108,2020,italy,Ethiopia / Borsa di dottorato per studio comparativo sul lavoro domestico in Etiopia e Tanzania,"ethiopia, tanzania",,africa,10734.8,9400.0,10734.8,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Doctoral scholarship for an anthropological study on the impact of environmental policies on communities in Ethiopia
",0,1,9114,2020,italy,Ethiopia / Borsa di dottorato per studio su politiche e progetti ambientali in Etiopia,ethiopia,,africa,26837.0,23500.0,26837.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Donation of material (n.7 masks, n.1 nitrogen cylinder, n.20 52mm/15m hoses) for Peje/Pec firefighters",0,0,9332,2020,italy,Kosovo / Supply of technical material,kosovo,,europe,1827.2,1600.0,1827.2,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
Drilling a well and building a hand-pump lifting system  in Bangmidou,1,0,40522,2016,italy,Burkina Faso / Burkina Faso / Africa (South of Sahara) / A well in Bangmidou,burkina faso,,africa,12812.12,11586.0,12812.12,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Drilling a well and building a hand-pump lifting system in Kona,1,0,40523,2016,italy,Burkina Faso / Burkina Faso / Africa (South of Sahara) / A well in Kona,burkina faso,,africa,12812.12,11586.0,12812.12,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Drilling a well to provide a village in Nanoro with drinkable water, so as to improve life conditions and health of thousands of people.",1,1,40527,2016,italy,Burkina Faso / Burkina Faso / Africa (South of Sahara) / Drilling a well to provide a village in Nanoro with drinkable water,burkina faso,,africa,9810.9,8872.0,9810.9,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Drilling a well to provide a village in Pella with drinkable water, so as to improve life conditions and health of thousands of people.",1,1,40526,2016,italy,Burkina Faso / Burkina Faso / Africa (South of Sahara) / Drilling a well to provide a village in Pella with drinkable water,burkina faso,,africa,9810.9,8872.0,9810.9,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Drilling a well to provide access to water and implementing a solar panels system to operate a birthing room and the maternity ward in a Health Institute,1,1,40402,2016,italy,Democratic Republic of the Congo / Democratic Republic of the Congo / Africa (South of Sahara) / Water and electrical supply  for a birthing room in Mwamwayi,congo,,africa,10499.83,9495.0,10499.83,Committed,ODA,mitigation,Grant,Other (Population policies),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Drilling for drinking water and plants for the Saint Nicolas community in Kinshasa in the district of N'Sele Bambous in Kinshasa.,0,1,8993,2020,italy,Democratic Republic Of The Congo / Drilling for drinking water and facilities for the Saint Nicolas community in Kinshasa,congo,,africa,53900.12,47198.0,53900.12,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Drilling of a 100 meters deep well and community management of water infrastructure (capacity building),0,1,40198,2016,italy,Uganda / Uganda / Africa (South of Sahara) / Water well in Karamoja,uganda,,africa,995.24,900.0,995.24,Committed,ODA,mitigation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Drilling of a new well and renovation of other 15 no longer functional. ,0,0,40280,2016,italy,"Uganda / Uganda / Africa (South of Sahara) / Assistance to refugees from South Sudan in Koboko, West-Nile ","uganda, sudan",,africa,70841.53,64062.0,70841.53,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Drilling of a well and construction of a building for the pump and of a aqueduct,0,0,3012,2019,italy,"Nepal / A deep well for Sanga, phase II",nepal,,asia,23180.31,20700.4,23180.31,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Drilling of a well and installation of a water tank,0,0,2847,2019,italy,Cameroon / Drinking water for Tobin,cameroon,,africa,4096.45,3658.2,4096.45,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Drilling of six wells in Wakotebou, Pentiko, Kouya, Koukwobirgou, Bampora, Cotiakou, Brignamarou, Department Atacora Nallou, Department Borgou",0,0,2786,2019,italy,Benin / Water for the rural villages of Atacora and Borgou,benin,,africa,24859.56,22200.0,24859.56,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Drilling seven wells in seven villages for drinking water in Kpessou Peulh, Samba Wari, Kpassa (Borgou), Hanagbo, Gossoe (Zou), Gougnenou (Atacora) (Benin), Kassou (Boulkiemdé) (Burkina Faso)",1,0,8791,2020,italy,Benin / Water in Benin e Burkina Faso,"benin, burkina faso",,africa,38743.49,33926.0,38743.49,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Drilling wells to provide drinking water remote villages,1,0,40528,2016,italy,Togo / Togo / Africa (South of Sahara) / Drilling of 3 wells,togo,,africa,7372.18,6666.67,7372.18,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Drinking water supply and awareness-raising activities on hygiene and health,1,1,2977,2019,italy,"Madagascar / ""Fjkm"" Drinking Water Ambatomainty",madagascar,,africa,27995.0,25000.0,27995.0,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Drinking water supply and construction of sanitary facilities for two kindergartens and a primary school in Shashemene, Ethiopia",1,0,40149,2016,italy,Ethiopia / Ethiopia / Africa (South of Sahara) / Drinking water supply and csanitary facilities ,ethiopia,,africa,13269.93,12000.0,13269.93,Committed,ODA,adaptation,Grant,Other (Education Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Drop by drop irrigation of a 4-hectare orchard in Baghagha,0,0,40502,2016,italy,Senegal / Senegal / Africa (South of Sahara) / Drop by drop irrigation of a 4-hectare orchard in Baghagha,senegal,,africa,6922.04,6259.6,6922.04,Committed,ODA,mitigation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Due to the climatic conditions of the Cusco area, the inhabitants are subject to serious respiratory diseases. The project involves the purchase of medical materials and the renovation of the environments intended for the specialist outpatient clinic, to offer prevention and specialist care to the population.",1,1,9570,2020,italy,Peru / Adaptation and preparation of an outpatient clinic for the prevention and treatment of respiratory diseases,peru,,latin america and the caribbean,9104.94,7972.8,9104.94,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Due to the increased economic vulnerability, in 2018 the number of Syrian refugee in Lebanon who has moved to informal settlements has increased. In accordance with the LCRP, the Project provides immediate assistance to vulnerable refugees living in Informal Settlements through water trucking, desludging services and community mobilization for improved WASH behavior.",1,1,2950,2019,italy,Lebanon / Ensure children their family living in Informal Settlements access to the right to water and healthy environment,lebanon,,asia,1119800.0,1000000.0,1119800.0,Committed,Oda,cross-cutting,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Due to the well-established and strong structure of ORDA at community level, the organization ensured high efficiency in their approach to remote and rural settlements, providing wide coverage of the planned interventions. . In collaboration with ECDD, the program aims to provide inclusive education services for children with disabilities in the regions of Amhara and Tigray. ",1,0,9132,2020,italy,Ethiopia / Ensuring Quality and Inclusive Education for Children with Disabilities	,ethiopia,,africa,102669.23,89903.0,102669.23,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"ECUADOR - PROGRAMME TO SUPPORT MICRO CREDIT FINANCE AND FAIR ECONOMY CONTRIBUTES TO FINANCIAL INCLUSION OF POOR PEOPLE IN THE PROVINCES OF CARCHI, SUCUMBIOS, EL ORO AND LOJA",0,0,9071,2020,italy,"Ecuador / PROGRAMME TO SUPPORT MICRO CREDIT FINANCE AND FAIR ECONOMY IN THE PROVINCES OF CARCHI, SUCUMBIOS, EL ORO AND LOJA",ecuador,,latin america and the caribbean,27408.0,24000.0,27408.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"EMERGENCY with this project aims to respond to the problems identified during the continuous needs analysis process, in order to contribute to the creation of a functional, fair and inclusive health system. The needs identified through direct and indirect",1,0,9645,2020,italy,"Sierra Leone / Health services, training and Education for the most vulnerable population in Sierra Leone",sierra leone,,africa,53293.49,46666.8,53293.49,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"ENGIM has been present in Sierra Leone since 1988 with projects and initiatives of solidarity in favor of the population, especially in the field of education, professional training and integral development of the person and communities, promoting initiatives in the agricultural and technical sector. ",1,0,9644,2020,italy,Sierra Leone / Agricultural development project and support project for the vocational training system - Lunsar - Sierra Leone ,sierra leone,,africa,30079.14,26339.0,30079.14,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
ENHANCEMENT OF LOW CARBON SUSTAINABLE DEVELOMPMENT AND SUPPORT OF MITIGATION AND ADAPTATION TO CLIMATE CHANGE.,0,1,42448,2015,italy,"Ghana / Ghana, Papua New Guinea, Panama - MoU","ghana, panama, papua new guinea",,"africa, latin america and the caribbean, oceania, multicontinent_or_global",2218524.68,2000000.0,2218524.68,Committed,ODA,cross-cutting,Grant,Other (Biosphere protection),True,True,False,False,False,False,False,True,False,True,False,,,,,,,,,,,,,,,,,
EPLO  -  European Public Law Organization - Voluntary Contribution 2020,0,0,9011,2020,italy,"Developing countries, unspecified / EPLO Voluntary Contribution 2020",,"developing countries, unspecified",continent_unspecified,22840.0,20000.0,22840.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
"EREC-P includes two large hospitals - Sagarmatha Chaudhary Eye Hospital in Lahan (SCEH) and Biratnagar Eye Hospital in Biratnagar (BEH) - 16 Eye Care Centers.
The mission of the program is to provide quality eye care to the population at affordable costs.
Over the years, the project has supported the activities of the pediatric ophthalmic service, training for medical personnel and visual rehabilitation activities.",1,0,9499,2020,italy,Nepal / Eastern Regional Eye Care Programme - EREC ,nepal,,asia,30242.2,26481.79,30242.2,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
