additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
"Construction of a well for a social center for students in Kupang, Timor Island, Indonesia",0,0,40192,2016,italy,"Indonesia / Indonesia / Asia (Far East Asia) / well for a social center for students in Kupang, Timor Island, Indonesia",indonesia,,asia,3980.98,3600.0,3980.98,Committed,ODA,mitigation,Grant,Water and Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of a well in Karemeno / Mugunda, Central Province",0,0,40153,2016,italy,"Kenya / Kenya / Africa (South of Sahara) / well in Karemeno / Mugunda, Central Province",kenya,,africa,13269.93,12000.0,13269.93,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of a well in the village of Boela Gada, Tombali Region",0,0,2919,2019,italy,"Guinea-bissau / Construction of a well in the village of Boela Gada, Tombali Region",guinea-bissau,,africa,55990.0,50000.0,55990.0,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of a well in the village of Coiada, Gabú region",0,0,40154,2016,italy,"Guinea-Bissau / Guinea-Bissau / Africa (South of Sahara) / well in the village of Coiada, Gabú region",guinea-bissau,,africa,23885.88,21600.0,23885.88,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of a well near the town of Bula, Cacheu region",0,0,40155,2016,italy,"Guinea-Bissau / Guinea-Bissau / Africa (South of Sahara) / well near the town of Bula, Cacheu region",guinea-bissau,,africa,24328.21,22000.0,24328.21,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of a women's dormitory with 320 beds, in order to provide the students with a safe environment where they will have the possibility to develop their intellectual skills and abilities.",1,0,9302,2020,italy,Kenya / Construction of a dormitory for the St. Bakhita girls' secondary school in Ebusiratsi - Luanda - Vihiga District Western Kenya,kenya,,africa,18131.76,15877.2,18131.76,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of a woodworking handicraft structure for the training and the inclusion of young people from the region Attobrou in business social fabric of the country,1,0,40316,2016,italy,Côte d'Ivoire / Côte d'Ivoire / Africa (South of Sahara) / Construction of a woodworking handicraft structure for the training and the inclusion of young people in business social fabric of the country,côte d'ivoire,,africa,6634.97,6000.0,6634.97,Committed,ODA,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of an aqueduct for the village of Dighèmurad, Anseba region",0,0,40156,2016,italy,"Eritrea / Eritrea / Africa (South of Sahara) / aqueduct for the village of Dighèmurad, Anseba region",eritrea,,africa,35386.49,32000.0,35386.49,Committed,ODA,adaptation,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of artisan tanks for the breeding of tilapia fish in the San Rafael Municipality Obrajuelo - La Paz ,0,0,40612,2016,italy,El Salvador / El Salvador / America (North & Central America) / Fish farming La Paz,el salvador,,latin america and the caribbean,10075.2,9111.0,10075.2,Committed,ODA,cross-cutting,Grant,Other (Fishing),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of bathrooms and a drinking water system,1,0,2994,2019,italy,Morocco / Bettering school infrastructure and promoting environmental education in Lamgharir,morocco,,africa,7347.59,6561.52,7347.59,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of bathrooms and a drinking water system, in order to create an environment where students can improve their intellectual skills and abilities.",1,0,9433,2020,italy,Morocco / Bettering school infrastructure and promoting environmental education in Lamgharir,morocco,,africa,8028.26,7030.0,8028.26,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of four sanitary blocks; Construction of two water points.,0,0,2903,2019,italy,Ethiopia / Water access in Makibasa and Hanja Goro,ethiopia,,africa,18812.64,16800.0,18812.64,Committed,Oda,cross-cutting,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of latrines for kindergarten, primary and secondary schools of the Charawe Village (Zanzibar)",1,0,40221,2016,italy,Tanzania / Tanzania / Africa (South of Sahara) / Schools of the Charawe Village (Zanzibar),tanzania,,africa,6634.97,6000.0,6634.97,Committed,ODA,cross-cutting,Grant,Other (Education Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of metallic silos for 125 families in the Municipality of San Rafael Obrajuelo ,0,0,40598,2016,italy,El Salvador / El Salvador / America (North & Central America) / Municipality of San Rafael Obrajuelo ,el salvador,,latin america and the caribbean,10081.83,9117.0,10081.83,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of small lakes for pisciculture of the Rio Azul, La Palmera and El Tapir agricultural communities, municipality of Pijao-Quindio",0,0,40609,2016,italy,"Colombia / Colombia / America (South America) / Construction of small lakes for pisciculture of the Rio Azul, La Palmera and El Tapir agricultural communities, municipality of Pijao-Quindio",colombia,,latin america and the caribbean,11601.24,10491.0,11601.24,Committed,ODA,cross-cutting,Grant,Other (Fishing),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of the San Marco Klinik, malnutrition ward, in Yegwe Gipe Village",0,0,40329,2016,italy,"Ethiopia / Ethiopia / Africa (South of Sahara) / Construction of the San Marco Klinik, malnutrition ward",ethiopia,,africa,26642.57,24092.88,26642.57,Committed,ODA,cross-cutting,Grant,Other (Health Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of the main logistics centre of operations,0,0,9583,2020,italy,"Peru / Mountain Cavendish - socio-economic development of 200 people in Leoncio Prado province, Peru, through diversification of agricultural production",peru,,latin america and the caribbean,30377.2,26600.0,30377.2,Committed,Oda,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of three school canteens to encourage children from 6 years of age and older from rural areas to attend school regularly.,1,0,8969,2020,italy,Côte D'ivoire / School canteens and food security,côte d'ivoire,,africa,45680.0,40000.0,45680.0,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of toilets for boys and girls for the primary school of Bishramganj that hosts 430 students aged between 4 and 8. The construction of toilets is fundamental for the health of students, to avoid their continuous absences due to illnesses that compromise their attendance to school lessons. ",0,0,9215,2020,italy,"India / Construction of toilets for the students of the school of Bishramganj, India.  ",india,,asia,9708.14,8501.0,9708.14,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of toilets in several villages in the Karen, Shan, Mon, Koyah and Rakhine states, Myanmar",1,0,3008,2019,italy,"Myanmar / Construction of toilets in several villages in the Karen, Shan, Mon, Koyah and Rakhine states, Myanmar",myanmar,,asia,27995.0,25000.0,27995.0,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Construction of two artisan wells and two tanks for the storage and treatment of water in the community of Derriere Allumette and Marotte,0,0,40416,2016,italy,Haiti / Haiti / America (North & Central America) / community of Derriere Allumette and Marotte,haiti,,latin america and the caribbean,8521.95,7706.4,8521.95,Committed,ODA,mitigation,Grant,Water and Sanitation,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of two kindergartens and a multipurpose room in Ngelebanga, a rural area of the diocese of Kikwit where 80% of the population is illiterate, especially women. The current buildings in straw and hay are unsafe buildings, which expose children and teachers to constant dangers and bad weather. The schools will be built in masonry and will be equipped with a multi-purpose hall with 550 seats for meetings, conferences, theatrical performances and various events, as well as toilets, a cistern in masonry and a plastic, a generator for electricity and solar panels , a satellite dish and a television as there is no television in the area.",0,0,1300,2018,italy,Democratic Republic of the Congo / Kindergarten with solar panels,congo,,africa,870675.32,737462.0,870675.32,Committed,ODA,mitigation,Grant,Other (Education),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of two wells, one in the village of Isagalambizi and the other in the village of Kititu, in the Dodoma region",0,0,3072,2019,italy,"Tanzania / Construction of two wells, one in the village of Isagalambizi and the other in the village of Kititu, in the Dodoma region",tanzania,,africa,16797.0,15000.0,16797.0,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Construction of: a school building with 3 classrooms and a warehouse, administrative building, sports facilities; Purchase and installation of: laboratory equipment; IT equipment; school and administrative furniture",0,0,8868,2020,italy,Burkina Faso / Education and training for human development. A secondary school in the village of Kassou 2nd lot,burkina faso,,africa,31328.26,27432.8,31328.26,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Contribute to building a peaceful coexistence between the Israeli and Palestinian people by strengthening shared local development policies in the field of cultural heritage and tourism,1,0,9416,2020,italy,"Middle East, regional / PA.C.C. Cultural heritage for  co- development ","palestine, state of",,asia,18272.0,16000.0,18272.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Contribute to building a peaceful coexistence between the Israeli and Palestinian people by strengthening shared local development policies in the field of cultural heritage and tourism ,1,0,2991,2019,italy,"Middle East, regional /  PA.C.C. Cultural heritage for  co- development ","palestine, state of",,asia,40312.8,36000.0,40312.8,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Contribute to improving the health and nutritional status of Sahrawi refugees through a strategy and solutions to the food problem of the Sahrawi population by drawing on resources inside the refugee camps. The project, through a capacity building activity, aims to give positive impetus to local realities, whether public or private, which belong to the food production chain, improving the quality of the food produced and transforming the production of quality food into a tool to gain dignity and reduce the frustration caused by over 45 years of addiction. The project will develop in particular in the activity of improving the quality of food of animal origin produced and marketed within the Sahrawi tent cities.",1,0,9549,2020,italy,"North of Sahara, regional / Healthy Eating - Interventions to strengthen the control system of food of animal origin",,africa,africa,7068.07,6189.2,7068.07,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Contribute to the defence of the human rights of indigenous peoples through the development of socio-political actions and digital technologies,0,0,8774,2020,italy,"Argentina / JUM - IT Skills, Youth and Indigenous Peoples Self-determination",argentina,,latin america and the caribbean,9009.47,7889.2,9009.47,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
